ASV_ID	EB_pool_1_2	EB_pool_1_3	EB_pool_1	EB_pool_2_2	EB_pool_2_3	EB_pool_2	EB_pool_3_2	EB_pool_3_3	EB_pool_3	MTeDNA_pool_01_1	MTeDNA_pool_01_2	MTeDNA_pool_01_3	MTeDNA_pool_02_1	MTeDNA_pool_02_2	MTeDNA_pool_02_3	MTeDNA_pool_03_1	MTeDNA_pool_03_2	MTeDNA_pool_03_3	MTeDNA_pool_04_1	MTeDNA_pool_04_2	MTeDNA_pool_04_3	MTeDNA_S12_1	MTeDNA_S12_2	MTeDNA_S12_3	MTeDNA_S13_1	MTeDNA_S13_2	MTeDNA_S13_3	MTeDNA_S14_1	MTeDNA_S14_2	MTeDNA_S14_3	MTeDNA_S15_1	MTeDNA_S15_2	MTeDNA_S15_3	MTeDNA_S15_2_2	MTeDNA_S15_2_3	MTeDNA_S15_2	MTeDNA_S16_1	MTeDNA_S16_2	MTeDNA_S16_3	MTeDNA_S17_1	MTeDNA_S17_2	MTeDNA_S17_3	MTeDNA_S18_1	MTeDNA_S18_3	MTeDNA_S19_1	MTeDNA_S19_2	MTeDNA_S19_3	MTeDNA_S20_1	MTeDNA_S20_2	MTeDNA_S20_3	MTeDNA_S21_1	MTeDNA_S21_2	MTeDNA_S21_3	MTeDNA_S22_1	MTeDNA_S22_2	MTeDNA_S22_3	MTeDNA_S23_1	MTeDNA_S23_2	MTeDNA_S23_3	MTeDNA_S24_1	MTeDNA_S24_2	MTeDNA_S24_3	MTeDNA_S25_1	MTeDNA_S25_2	MTeDNA_S25_3	MTeDNA_S25_2_1	MTeDNA_S25_2_2	MTeDNA_S25_2_3	MTeDNA_S26_1	MTeDNA_S26_2	MTeDNA_S26_3	MTeDNA_S30_1	MTeDNA_S30_2	MTeDNA_S30_3	MTeDNA_S31_1	MTeDNA_S31_2	MTeDNA_S31_3	MTeDNA_S31_2_1	MTeDNA_S31_2_2	MTeDNA_S31_2_3	MTeDNA_S32_1	MTeDNA_S32_2	MTeDNA_S32_3	MTeDNA_S33_1	MTeDNA_S33_2	MTeDNA_S33_3	MTeDNA_S34_1	MTeDNA_S34_2	MTeDNA_S34_3	NTC_1	NTC_2	NTC_3	tap_pool_1_1	tap_pool_1_2	tap_pool_1_3	MTeDNA_S18_2
ba26f2dda367bc039ec416758ae78f8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
da8181f59fee22c107423468ed2f43a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d66f627784759174fea3a342f7d04d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91eb327807a3cbe9c6cb92b8e58014f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65824bf377db43ef52cb6961fe115890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32ba8ea1107a159dc72bdbe9964c2dca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1b92114b6eff59c918910d8928d687a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8aab24f8b12dbdeb1a9ee704bc37466b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cfb342e49a19f2415f1087d70a78bf95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a452e2450c44fc3986b2ff5cb07319b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
92ede6f588c949cf3613273322196c9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f02d58c10694efbeda9b1a3d77bd894f	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f855f957d75865bb7768af82559e4320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e4a8818310c5fdafaa5efc96bde485d8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
