sample,replicate,triplicate,type,depth,depth_cat,lat,long,lat_deg,lat_min,log_deg,log_min,day,month,year,volume_L,Comments
MTeDNA_S30_1,MTeDNA_S30,yes,eDNA,0,01. Epipelagic (0-200m),25.2065,136.3611667,25,12.39,136,21.67,19,July,2020,1.5,hydrophone closP
MTeDNA_S30_2,MTeDNA_S30,yes,eDNA,0,01. Epipelagic (0-200m),25.2065,136.3611667,25,12.39,136,21.67,19,July,2020,1.5,hydrophone closP
MTeDNA_S30_3,MTeDNA_S30,yes,eDNA,0,01. Epipelagic (0-200m),25.2065,136.3611667,25,12.39,136,21.67,19,July,2020,1.5,hydrophone closP
MTeDNA_S32_1,MTeDNA_S32,yes,eDNA,0,01. Epipelagic (0-200m),19.77916667,147.4513333,19,46.75,147,27.08,2,July,2020,1.5,hydrophone closP
MTeDNA_S32_2,MTeDNA_S32,yes,eDNA,0,01. Epipelagic (0-200m),19.77916667,147.4513333,19,46.75,147,27.08,2,July,2020,1.5,hydrophone closP
MTeDNA_S32_3,MTeDNA_S32,yes,eDNA,0,01. Epipelagic (0-200m),19.77916667,147.4513333,19,46.75,147,27.08,2,July,2020,1.5,hydrophone closP
MTeDNA_S34_1,MTeDNA_S34,yes,eDNA,0,01. Epipelagic (0-200m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTeDNA_S34_2,MTeDNA_S34,yes,eDNA,0,01. Epipelagic (0-200m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTeDNA_S34_3,MTeDNA_S34,yes,eDNA,0,01. Epipelagic (0-200m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTeDNA_pool_02_1,MTeDNA_pool_02,yes,eDNA_pool,25,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_02_2,MTeDNA_pool_02,yes,eDNA_pool,25,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_02_3,MTeDNA_pool_02,yes,eDNA_pool,25,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_03_1,MTeDNA_pool_03,yes,eDNA_pool,50,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_03_2,MTeDNA_pool_03,yes,eDNA_pool,50,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_03_3,MTeDNA_pool_03,yes,eDNA_pool,50,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_01_1,MTeDNA_pool_01,yes,eDNA_pool,100,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
MTeDNA_pool_01_2,MTeDNA_pool_01,yes,eDNA_pool,100,01. Epipelagic (0-200m),11.37083333,142.4321667,11,22.25,142,25.93,21,June ,2020,0.25,NA
